title,subtitle,author,synopsis,title_type,mission
#474 Confucius's #1 Tip,The Way of the Master Consists of…,,"While we’re enjoying our time with Confucius, how about we ask him what his #1 tip is for Optimizing? Let me Google Hangout Confucius",+1s,Ancient Wisdom
"#477 Virtuous, Charismatic Power",via Effortless Effort (Wu-Wei + De),,I hope you enjoyed our time with Confucius. Today we’re going to invite a modern philosopher-neuroscientist named Edward Slingerland to,+1s,Ancient Wisdom
#503 For Whom the Siren Wails,Don’t Ask … It’s for You,,"The other day as I was driving to the mountain for my sunrise Trail work, I passed an ambulance in front of a house and saw two paramedics",+1s,Ancient Wisdom
"#578 Creating a Confident, Dignified Life",Running into Buddha and Confucius at the Local Grocery Store,,The other day I was waiting in line at our local grocery store. It’s kinda like a mini-Whole Foods. Note: There were no horses tethered in,+1s,Ancient Wisdom
#620 Spiritual Sports,Scoring Touchdowns with Rumi,,"With all this talk about sports heroes and scoring touchdowns and winning forever, I think it’s time to remind ourselves that sports",+1s,Ancient Wisdom
#714 Noli Timere,,,"In our last +1, we spent some time hanging out with my friend Katherine Collins who is, I am quite sure, the only human on the planet who",+1s,Ancient Wisdom
"#862 You, Seneca and Alexander the Great",On Philosophy,,"In our last couple +1s, we had some fun hanging out with Alexander the Great as we watched him bust out his sword and slice the Gordion Knot",+1s,Ancient Wisdom
#863 A Disposition to Good,Pleasant + Honorable = the Same = Blissipline,,"In our last +1, we got some advice from Seneca. He encouraged us to remember that philosophy “tells all other occupations: ‘It’s not",+1s,Ancient Wisdom
#864 Fortify Your Pertinacity,Seneca Says: “Until the Will to Good Becomes a Disposition to Good”,,"In our last +1, Seneca taught us how awesome it is to pursue the straight course to reach the destination where doing the right thing is the",+1s,Ancient Wisdom
#906 Hanging out with Confucius,Learning from the Good and the Bad,,"A few +1s ago, we posed the question: “How is this making me stronger?” Specifically: How is this challenge I’m facing Today making me",+1s,Ancient Wisdom
#1017 Theory vs. Practice,Musonius Says: One Is More Important Than the Other,,"In our last +1, we got some great marriage advice from the Roman Socrates, Musonius Rufus. He told us that: “When this mutual care is",+1s,Ancient Wisdom
#1128 The Optimize Compass,And How to Make One,,"As I was preparing for our Mastery Series Module on Hero-ology (aka: The Study of a Good Hero), I was having fun thinking about how to",+1s,Ancient Wisdom
"#1181 Jesus, Tolle, You and Your House on the Rock",The Parable of the Wise and the Foolish Builders,,"The other day I ran into my friend Michael on the Trail. Well, technically, we did a 6-feet-apart virtual elbow tap as it was the start of",+1s,Ancient Wisdom
#1182 Changing Times,Call for Unchanging Principles,,"In our last +1, we talked about Jesus, Tolle and You and your House on the Rock. I mentioned the fact that Tom Morris leaned on Jesus’",+1s,Ancient Wisdom
#476 How to Make Progress,Confucius Says It’s Simple: Just Keep Going,,"Confucius is back for a little more wisdom. Today he’s going to teach us about how to make progress. Me: “Thanks for joining us again,",+1s,Ancient Wisdom
#475 Want Recognition?,Focus on Being WORTHY of It,,"Continuing our good times with Confucius, here’s one of the gems from his Analects that has tattooed itself on my brain since I read it a",+1s,Ancient Wisdom
#478 Trying Not to Try,4 Different Approaches to Wu-Wei + De (Yours?),,"In our last +1, we spent some time with Edward Slingerland who helped us wrap our brains around the Chinese concepts of wu-wei and de. Our",+1s,Ancient Wisdom
#488 The Golden (+ Platinum!) Rule,How’re You Treating Others? AND… Yourself?,,"We’ve all heard of the Golden Rule. But, today I have three quick questions: 1. Do you know just how ubiquitous that Golden Rule is across",+1s,Ancient Wisdom
#1287 Numbing Our Souls,Let’s WAKE UP and Stop Doing That (Today!),,"In our last +1, we took a quick trip through the purgatory of the idiot (lol) that is the crowded and busy world of incessant inputs",+1s,Ancient Wisdom
#892 Stoic Shipwrecks,And Kids at the Park Biting You,,"In our last +1, we had fun reflecting on a new ritual Emerson and I are having fun with. It’s been super fun to reflect on ancient Stoic",+1s,Ancient Wisdom
#379 Stoic Spas,Are More Like Hospitals (Check Yourself In Yet?),,"In our last +1, we talked about how to give advice Seneca-style. Recall that he didn’t do it from a soapbox. He did with the humility of a",+1s,Ancient Wisdom
#851 Stoic Negative Visualization,A Practice in the Ancient Art of Stoic Joy,,"In our last couple +1s, we talked about a couple of ways to reframe life’s lemons into a little more Optimizade. We started with “At",+1s,Ancient Wisdom
#1016 Stoic Love Advice,Musonius Says: Compete in Giving Care,,"As we discussed not too long ago, I recently had an epic party with some Stoics. And, by party, I mean, I hung out with some of the",+1s,Ancient Wisdom
#1002 The Stoic Paradox,The Stockdale Paradox - Part 2,,"Over the last couple of weeks, I’ve been having fun hanging out with some Stoics—some modern guys and some ancient ones. It started with",+1s,Ancient Wisdom
#891 The Daily Stoic Kid,What Coin Will YOU Pick Today?,,"In our last +1, we talked about going deep to serve profoundly. Immediately after finishing that +1, I went downstairs to hang out with the",+1s,Ancient Wisdom
#1059 Your Most Profitable Journey,Stoic Antifragile Origin Stories,,"In our last +1, we hung out with a couple of Zenos—Emerson’s leopard gecko and the founder of Stoicism. Side note: Every single time I",+1s,Ancient Wisdom
#1004 The Cardinal Virtues,Of Stoicism + Science + Optimize,,The other day we chatted about my recent staycation with my Stoic friends. (btw: Laughing as I type this but you know what I do when I’m,+1s,Ancient Wisdom
#1152 Disaster =,Virtue’s Opportunity,,"If you haven’t noticed, I can’t quite get enough of Stoic wisdom. In fact, I can’t quite get enough of ancient (Stoic) wisdom AND",+1s,Ancient Wisdom
#1142 Memento Aristotle’s River Creatures,Getting Perspective on Life and Death,,Today we’re going to revisit Ward Farnsworth’s great book The Practicing Stoic. Chapter 4. It’s on “Death.” We’ll turn,+1s,Ancient Wisdom
"#404 Caterpillars, Butterflies and You","(And Maslow, Aristotle, Stoics and Others)",,"In our last +1, we talked about Abraham Maslow’s wisdom and the ancient etymology of the word clamor in the context of your capacities",+1s,Ancient Wisdom
#860 You and Your Gordion Knots,Conquering Our Super-Tricky Challenges,,"Skipping the longer philosophical chat about the ethics of being a conqueror, Today we’re going to chat about Alexander the Great. More",+1s,Ancient Wisdom
#1018 True Philosophy,Is the Practice of Noble Behavior,,"In our last +1, we talked about Musonius’s thoughts on theory vis-a-vis practice. Recall his wisdom: “Theory which teaches how one must",+1s,Ancient Wisdom
#409 It Is What It Is,The Power of Loving What Is,,Byron Katie wrote a great book called Loving What Is. We talked about her before in the context of making sure you stay in YOUR business,+1s,Ancient Wisdom
#211 Chiseling Character,Another Greek Etymology Lesson,,"In our last +1, we spent some time with Michelangelo—seeing our heroic potential within a block of marble. Then we got out our chisel and",+1s,Ancient Wisdom
#504 Rehearsing Your Death,As a Way to LIVE (Seneca Says…),,"In our last +1, we talked about the idea that the siren you might hear today wails for YOU. Then I suggested you actually IMAGINE yourself",+1s,Ancient Wisdom
#452 The Space,Between Stimulus and Response,,Viktor Frankl was a remarkable human being. He was a leading psychotherapist before suffering the horrors of Nazi concentration camps. He,+1s,Ancient Wisdom
#850 Aurelius on Death,And Appreciating the “Uncovenanted Surplus” That Is Life,,"In our last +1, we reflected on the idea that little (and big) oopses provide us with opportunities to appreciate that we’re still alive",+1s,Ancient Wisdom
#209 Memento Mori,Want to Live? Remember Death,,"As you probably know by this point, I’m a big fan of Stoicism in general and of my favorite living Stoic philosopher Ryan Holiday in",+1s,Ancient Wisdom
